codigo_postal,municipio,latitud,longitud,zone
55074,15033,19.6105327606201,-98.9984970092773,Cuautitlan
55075,15033,19.5940284729004,-99.0248641967773,Cuautitlan
55076,15033,19.5886726379395,-99.0194091796875,Cuautitlan
55080,15033,19.5752716064453,-99.0496978759766,Cuautitlan
55084,15033,19.5762233734131,-99.0512084960938,Cuautitlan
55085,15033,19.5831832885742,-99.0490875244141,Cuautitlan
55087,15033,19.5813541412354,-99.0561904907227,Cuautitlan
55090,15033,19.5876331329346,-99.0386810302734,Cuautitlan
55094,15033,19.5919208526611,-99.0420989990234,Cuautitlan
55095,15033,19.5814456939697,-99.0258026123047,Cuautitlan
55100,15033,19.5580310821533,-99.0359573364258,Cuautitlan
55104,15033,19.5519638061523,-99.0215148925781,Cuautitlan
55105,15033,19.5653076171875,-99.0336990356445,Cuautitlan
55107,15033,19.5592479705811,-99.0276412963867,Cuautitlan
55114,15033,19.5615901947022,-99.0283889770508,Cuautitlan
55115,15033,19.5640029907227,-99.0194702148438,Cuautitlan
55117,15033,19.5628147125244,-99.01416015625,Cuautitlan
55118,15033,19.5679111480713,-99.0216598510742,Cuautitlan
55119,15033,19.5759544372559,-99.0227737426758,Cuautitlan
55120,15033,19.5368003845215,-99.0320053100586,Cuautitlan
55125,15033,19.5526008605957,-99.0171585083008,Cuautitlan
55126,15033,19.5308742523193,-99.015739440918,Cuautitlan
55127,15033,19.5394973754883,-99.0380249023438,Cuautitlan
55128,15033,19.5558471679688,-99.0149230957031,Cuautitlan
55129,15033,19.5459461212158,-99.0173645019531,Cuautitlan
55130,15033,19.5374240875244,-99.0392150878906,Cuautitlan
55135,15033,19.5270614624023,-99.0331802368164,Cuautitlan
55137,15033,19.5363426208496,-99.0413436889648,Cuautitlan
55138,15033,19.5340633392334,-99.0333099365234,Cuautitlan
55139,15033,19.5341949462891,-99.0385437011719,Cuautitlan
55140,15033,19.5267066955566,-99.0241241455078,Cuautitlan
55146,15033,19.5187301635742,-99.0246658325195,Cuautitlan
55147,15033,19.5228900909424,-99.0272674560547,Cuautitlan
55148,15033,19.524097442627,-99.0302200317383,Cuautitlan
55149,15033,19.5270977020264,-99.0291137695313,Cuautitlan
55158,15033,19.5248737335205,-99.0171279907227,Cuautitlan
55170,15033,19.5219612121582,-99.0222015380859,Cuautitlan
55176,15033,19.5265979766846,-99.0201416015625,Cuautitlan
55180,15033,19.5191879272461,-99.016731262207,Cuautitlan
55187,15033,19.5181732177734,-99.0197219848633,Cuautitlan
55188,15033,19.5215606689453,-99.0185165405273,Cuautitlan
55189,15033,19.5207500457764,-99.0160446166992,Cuautitlan
55190,15033,19.5140018463135,-99.0175247192383,Cuautitlan
55200,15033,19.5223178863525,-99.0453491210938,Cuautitlan
55210,15033,19.5217456817627,-99.0550079345703,Cuautitlan
55218,15033,19.5184001922607,-99.0547485351563,Cuautitlan
55220,15033,19.5192031860352,-99.0570068359375,Cuautitlan
55230,15033,19.4913024902344,-99.0159072875977,Cuautitlan
55234,15033,19.4883594512939,-99.0236511230469,Cuautitlan
55235,15033,19.4905185699463,-99.0242385864258,Cuautitlan
55236,15033,19.4924621582031,-99.0218048095703,Cuautitlan
55237,15033,19.4967021942139,-99.0241775512695,Cuautitlan
