ID_Credito,ID_Credito_original,ID_Tienda
54fcbd,3c395d73-a444-4642-a2c6-dc9bd154fcbd,0a5373b3-bf00-4507-9c6b-1a040d4925e2
5c5d7a,3da34385-e595-470e-9976-d21b125c5d7a,f0db168e-244a-4ff2-889e-64650aa582c6
1bb466,3e193151-45f7-4340-a572-419d9e1bb466,afad6de7-66d0-45a6-aced-2f95e8f98f92
ad4203,3e339ebb-2c5e-4c2c-a42f-ffbeacad4203,1c5302d6-de0d-443c-a355-7a5e94521e65
1e304c,41a48b7e-2dfb-44a6-bcae-986ad81e304c,75010dc1-dd12-4acb-9099-2e86cd9fa7fd
b136d3,45a6b807-49d6-40ea-b4ba-dc2a1fb136d3,bfe9b290-b589-40d1-8e8a-84d65f2b7b30
18a0a4,45d1b36c-4d15-49c8-959c-07053618a0a4,f245f538-63e5-4518-8480-943e4132756c
57cc39,4891faa4-9403-4384-957a-9c618257cc39,a75694c7-4a16-4e45-9312-fc925bf602d1
3aac32,49d50aa9-a91e-4408-b8e1-66d5c63aac32,e43b2da6-52d3-4321-8ea6-8a99a3cc2af2
5a4fa2,49f30fe1-b7bd-4fe3-9a11-5bf9eb5a4fa2,b362c0a7-ee29-4813-9fc6-bea046d45467
58984d,4a069fe8-90ac-4e16-8550-5d17af58984d,04f26316-ba6c-410f-ae79-cdda9888e234
e4c9e2,4b243a7f-2b15-46ca-af39-4b089ce4c9e2,0adc31bf-30df-4878-a17f-a60f07269424
623c7b,4b5281a8-1be1-46a1-8a59-29745e623c7b,0c9738e6-bccf-4564-918e-fe6f8a60f368
0e30f7,4bcd676c-afa1-4562-a202-9256bd0e30f7,84bdc3d3-4866-4c75-a2ee-3d06b9ff0721
79155c,4bfc8ac1-273d-47cf-ba8c-e2026879155c,1994b396-eda9-4a5c-bf60-083da978a517
a60cf0,4d632fad-014d-4672-bfe8-57bb7da60cf0,2d973091-58e2-416a-99d5-7d1c9ab17b52
8a15f8,4db3d129-f347-4860-9a06-2c712b8a15f8,11dfb442-8e5b-493a-9f52-f2d2c51c9401
7f41c0,4e4e7502-d69d-4b7b-bff7-cda5b77f41c0,c69b92f2-419b-423e-87cb-be839c275fe1
428022,4ebabd89-e93b-44f6-8cf5-a1747e428022,0ff1cd99-7615-4e56-8eae-05b76ec1196a
4daaf5,4ec7f558-f27d-4c38-a285-22ea724daaf5,e077afc4-e88e-4b55-aacc-534601727c59
017c63,4eefb39a-b789-4aa6-994c-26a94e017c63,1c26d721-98fd-43d4-92d9-4b6c30c31164
bfe620,4f15e15d-c671-4f1e-a21f-9787cabfe620,9a0cb39a-e320-4c16-8370-3f8be3c04360
4c194e,4f44f784-f75c-4220-84a9-11a6304c194e,7591ffee-93ba-4313-944a-b0e8abefea1a
9445db,4fe351bf-5dad-44d8-860a-19688c9445db,e701feea-78bd-484e-8b59-4bee4219191d
826e00,513c8624-b79f-4a39-b406-dcf761826e00,34e16a6c-4c20-4958-baaf-148ef0831853
fdad32,51c4f11d-0264-4ffb-baa2-0a6d67fdad32,5cd0ce2e-bedc-472f-843d-320265bbb108
cc2c32,54f810b2-3e33-4cfc-9b50-c93248cc2c32,f02c1a60-1fd9-4bc9-833b-7e4bc9191cae
caeaf8,54fb4649-5d4d-4282-8f48-5864e6caeaf8,6b025398-5521-4ce4-a6f2-e0a6592a9638
0ff9d7,566a271e-833f-4070-a3bd-16da2f0ff9d7,df834691-fe15-4f39-b986-3767a6c23927
0bcb09,58fcf6c2-7835-424a-8e6d-648c1e0bcb09,1d7ca76b-2c89-4cf4-8c06-9382af8c46e2
1b51b4,5ab008f6-ed26-4f18-8758-9ef48a1b51b4,f348185e-9484-4bac-a36b-ca8ddde112e5
9982fe,5e6155c1-6ce6-4ef4-b5c0-bf2a8b9982fe,0d9d37cf-fdf0-42c0-8749-727284364e11
da3ab4,5edd229f-82bc-4e3b-be71-233082da3ab4,f94d9c77-3468-4eba-a7f7-16c998fb14ec
7c6262,5eeb4607-f624-4652-862e-928cdc7c6262,671c1543-91e7-48cc-992e-729143f52821
a1cbff,61e95460-57cc-4f26-96ab-d43ce4a1cbff,bb2544b3-d335-4909-9924-809d2f0deeff
8be3f2,6231f0ac-e169-474b-8a6d-d232bf8be3f2,1b9a554b-d367-4c30-929d-81d65b137bf5
d76e75,646536f7-fda7-4a9f-b419-f18c9bd76e75,a40e223b-47b2-44e7-a2fd-35aaf80fc18b
0de7bf,65412184-18eb-4688-848b-0faf140de7bf,582a3189-37e1-4788-80b4-240ffdece915
62915e,6546c71e-c031-41f4-aca9-23dac962915e,eca3d694-6117-49bd-8b88-9a647c356588
809143,660cfb3e-3c25-41a6-96e6-6e241f809143,8325a30f-8cef-4d79-9a16-72607d5bb7cf
e3f15d,6626f49e-90d4-424f-8dc8-b8e3b6e3f15d,c6fe4deb-deff-4e0c-8b04-e54292dfd7ba
60f716,66469cb7-5dba-431c-9a02-05bfee60f716,5e6fdaf1-1226-411f-a16f-140cd595a87e
76400f,66c6d2e4-ea09-4661-ab26-aa550c76400f,62587ddc-9a42-4c0c-b218-ef2fecaed1ee
f013d5,675707ae-f858-4d4f-99d1-12ff92f013d5,59783f32-57d7-4358-8bc6-e2e872aba166
7c0e19,6a21574d-16c7-4f59-b8b0-1d78617c0e19,5e9c41f8-817a-4ca9-96af-83d713bc24d7
b39f82,6a640324-d5bc-4c27-a601-e66449b39f82,4383d71b-0cbb-428d-ac7e-82a493587722
220193,6b71078e-183f-4107-a36b-6540da220193,97c4885d-6d52-410b-9d52-8cc4b1c09798
a79676,6ba0462a-ab4c-4d66-a9ec-0d6a52a79676,eab6650b-3f9c-4f30-9cbb-e93d4ffb0061
b63419,6c8147fd-85bf-4b3f-8d7c-300880b63419,a6698425-a06c-41c9-bd04-f9cec15de9aa
75f007,6cda2d48-10b7-4898-a1b9-7cbfc075f007,5961b5dc-f856-4195-b46b-e5078da45cd7
786ce5,6e4f4ce1-4fe6-430a-8806-24b3d6786ce5,61a04c75-4b8e-42d8-9ef0-98445d25f618
622a5a,6f3070ab-1a46-44f1-968b-2e6177622a5a,2431c88c-51fc-47f4-a939-a3eaf8bebd7d
7c68e7,6f50ded7-618f-41a3-9975-74d1de7c68e7,0807e98c-685d-47bd-b8f0-c1c4a3dabf76
6bd544,70d4b6fb-2f98-4e37-8eae-d885f06bd544,571434b1-89d7-44fc-b00b-6dfb4236ee2b
f20ecd,728494e8-34b9-47c8-9acc-a4bceef20ecd,603d2451-9153-4887-ac40-9eb916865df9
e748a7,7302447f-bebf-45e0-8c90-eacfd9e748a7,0f60d91d-75cb-4131-a748-0892f63b06e6
d3fbd0,7336f0ea-e17c-4454-9768-ef6738d3fbd0,b9989869-e6d9-422f-9b39-56ee266e4838
61bc72,7338dac3-6315-4ed1-90e7-a98f7e61bc72,980fe2d5-882e-40b0-a9ea-92883734a049
5afc62,7346d2c0-f0b7-46bb-aba9-22cf745afc62,c8a4b8d7-8789-474e-95b8-3fbe62baa681
a6fa1b,739c4b3c-5dfe-45e7-8954-eda002a6fa1b,7d4844c7-133d-40c0-b049-f00dc748689c
aac095,745b252a-c9a6-4752-9b1d-efe608aac095,a9afff63-34d1-4ba5-a116-fdc3402e66da
3b8708,7486fcfe-aa6c-4a65-a8d8-7031043b8708,42b6cb94-50f1-4a38-8c03-893b4a9865d8
3e1a59,75bc8324-2ef9-4e53-98b8-fe4fb53e1a59,870c99bb-014a-4aca-8abb-19fe737a69dc
ea585a,7606f34f-0272-4b9f-945d-334acfea585a,d2cbcc8f-f279-43e2-90f0-6569100d1179
b36230,7737f0af-f259-40ae-b106-2ab89ab36230,9d2a76fc-b377-4831-8309-18eeb9063edc
79df63,77d0a4d2-5c85-4232-9306-22d9f579df63,97e02dec-5d88-483e-a2c4-b193a62776d9
