Cosecha,KPI,Mes,Value
2022-07,Par30,M003,0.14329990952424088
2022-08,Par30,M003,0.1730294414369888
2022-09,Par30,M003,0.12770400795349526
2022-10,Par30,M003,0.1333431954859371
2022-11,Par30,M003,0.09527813069534499
2022-12,Par30,M003,0.0402756336604966
2021-08,Par30,M004,0.023624677902523282
2021-09,Par30,M004,0.1346100479372898
2021-10,Par30,M004,0.08907730382207131
2021-11,Par30,M004,0.13598502275303792
2021-12,Par30,M004,0.025809814333181195
2022-01,Par30,M004,0.061955298096315975
2022-02,Par30,M004,0.07457846141773487
2022-03,Par30,M004,0.05472343217161727
2022-04,Par30,M004,0.15371616584989276
2022-05,Par30,M004,0.17901274762319327
2022-06,Par30,M004,0.26013811491378885
2022-07,Par30,M004,0.18955094905118208
2022-08,Par30,M004,0.20120719439861845
2022-09,Par30,M004,0.15724158746961092
2022-10,Par30,M004,0.20863229494444926
2022-11,Par30,M004,0.14572727475698088
2021-08,Par30,M005,0.11547372377135875
2021-09,Par30,M005,0.22057417459160497
2021-10,Par30,M005,0.06644820921178603
2021-11,Par30,M005,0.15049783388830698
2021-12,Par30,M005,0.024202962540540093
2022-01,Par30,M005,0.07734985810278149
2022-02,Par30,M005,0.10757828078677521
2022-03,Par30,M005,0.12840748771755453
2022-04,Par30,M005,0.1752799475438318
2022-05,Par30,M005,0.25223011179941385
2022-06,Par30,M005,0.2625120436384597
2022-07,Par30,M005,0.24727053196849968
2022-08,Par30,M005,0.21654866468123504
2022-09,Par30,M005,0.1761315867050006
2022-10,Par30,M005,0.2698636219620403
2021-08,Par30,M006,0.23323151098491496
2021-09,Par30,M006,0.21533181361825354
2021-10,Par30,M006,0.09392140896746919
2021-11,Par30,M006,0.18798737426036927
2021-12,Par30,M006,0.02591697655754912
2022-01,Par30,M006,0.11470200022776082
2022-02,Par30,M006,0.15428587083594958
2022-03,Par30,M006,0.15277053646647734
2022-04,Par30,M006,0.22430694471991425
2022-05,Par30,M006,0.30258920414166907
2022-06,Par30,M006,0.24479703939443867
2022-07,Par30,M006,0.32013390525892915
2022-08,Par30,M006,0.2791717142218936
2022-09,Par30,M006,0.27742395805458486
2021-08,Par30,M007,0.15674936696911812
2021-09,Par30,M007,0.22601083908783154
2021-10,Par30,M007,0.12698573655522524
2021-11,Par30,M007,0.18589619558155643
2021-12,Par30,M007,0.05443853502217995
2022-01,Par30,M007,0.15861573182404773
2022-02,Par30,M007,0.18881476205161635
2022-03,Par30,M007,0.18944483130702974
2022-04,Par30,M007,0.30800293609407253
2022-05,Par30,M007,0.32496882591706705
2022-06,Par30,M007,0.26778893382328467
2022-07,Par30,M007,0.3433364567620037
2022-08,Par30,M007,0.3649321848556273
2021-08,Par30,M008,0.2029374256621461
2021-09,Par30,M008,0.2735195179803442
2021-10,Par30,M008,0.15888521666176317
2021-11,Par30,M008,0.20683249846010826
2021-12,Par30,M008,0.07228185990897833
2022-01,Par30,M008,0.15755554564130866
2022-02,Par30,M008,0.2108934209942711
2022-03,Par30,M008,0.22946520323307232
2022-04,Par30,M008,0.2852121179827043
2022-05,Par30,M008,0.3694796477951527
2022-06,Par30,M008,0.28166071300988266
2022-07,Par30,M008,0.4142967914115931
2021-08,Par30,M009,0.2242130661291115
2021-09,Par30,M009,0.2615627524753059
2021-10,Par30,M009,0.21925828153010576
2021-11,Par30,M009,0.25285530225956887
2021-12,Par30,M009,0.11833685462322929
2022-01,Par30,M009,0.21896019462662863
2022-02,Par30,M009,0.2716452473632727
2022-03,Par30,M009,0.26730694023149526
2022-04,Par30,M009,0.2671012632605708
2022-05,Par30,M009,0.4171917886376993
2022-06,Par30,M009,0.3207096228393517
2021-08,Par30,M010,0.20626723328641489
2021-09,Par30,M010,0.35138562906527104
2021-10,Par30,M010,0.2529342480271714
2021-11,Par30,M010,0.2658743534495038
2021-12,Par30,M010,0.14245833383267414
2022-01,Par30,M010,0.3125108709761454
2022-02,Par30,M010,0.2688670075683907
2022-03,Par30,M010,0.29640533056888985
2022-04,Par30,M010,0.3098709026833167
2022-05,Par30,M010,0.47915069697746326
2021-08,Par30,M011,0.216584138824985
2021-09,Par30,M011,0.37047437262427163
2021-10,Par30,M011,0.23060430410447139
2021-11,Par30,M011,0.3087572927656128
2021-12,Par30,M011,0.14872406087467255
2022-01,Par30,M011,0.33842048835733485
2022-02,Par30,M011,0.3084088812148112
2022-03,Par30,M011,0.29815491510987147
2022-04,Par30,M011,0.3516651256240237
2021-08,Par30,M012,0.2807824308292925
2021-09,Par30,M012,0.4042888874075644
2021-10,Par30,M012,0.23210294980561264
2021-11,Par30,M012,0.32707035030482806
2021-12,Par30,M012,0.16454316359723584
2022-01,Par30,M012,0.36627925067187933
2022-02,Par30,M012,0.3195543666446597
2022-03,Par30,M012,0.30913715730040603
2021-08,Par30,M013,0.26988386518248914
2021-09,Par30,M013,0.38794365563296246
2021-10,Par30,M013,0.26909644915887626
2021-11,Par30,M013,0.3122778306266212
2021-12,Par30,M013,0.16843176352749112
2022-01,Par30,M013,0.3595603227287815
2022-02,Par30,M013,0.40348847902232376
2021-08,Par30,M014,0.26710449712992296
2021-09,Par30,M014,0.3973450019768318
2021-10,Par30,M014,0.32288893267008384
2021-11,Par30,M014,0.34495597264826555
2021-12,Par30,M014,0.16648958334957015
2022-01,Par30,M014,0.3762702187532107
2021-08,Par30,M015,0.29346634234075436
2021-09,Par30,M015,0.4311547012613659
2021-10,Par30,M015,0.32417017773185963
2021-11,Par30,M015,0.38344037823675553
2021-12,Par30,M015,0.22061570597463082
2021-08,Par30,M016,0.3009415773327346
2021-09,Par30,M016,0.43074995244589925
2021-10,Par30,M016,0.39458825083623994
2021-11,Par30,M016,0.3918737571431738
2021-08,Par30,M017,0.30925774969325914
2021-09,Par30,M017,0.4559735000287546
2021-10,Par30,M017,0.38289564940970283
2021-08,Par30,M018,0.33816739939482227
2021-09,Par30,M018,0.4818711001394136
2021-08,Par30,M019,0.3912645034224586
Promedio General,Par30,M000,0.0
Promedio General,Par30,M001,0.010383648803796452
Promedio General,Par30,M002,0.05053960257781408
Promedio General,Par30,M003,0.10063646501126541
Promedio General,Par30,M004,0.13519831864230894
Promedio General,Par30,M005,0.17184795585663093
Promedio General,Par30,M006,0.2057193834830229
Promedio General,Par30,M007,0.2327416330081879
Promedio General,Par30,M008,0.25146003494980784
Promedio General,Par30,M009,0.27401006398332495
Promedio General,Par30,M010,0.30235996605140886
Promedio General,Par30,M011,0.2958966309653819
Promedio General,Par30,M012,0.2985483430570779
Promedio General,Par30,M013,0.31203022388936075
Promedio General,Par30,M014,0.30961329821405936
Promedio General,Par30,M015,0.33122174251344416
Promedio General,Par30,M016,0.382565092495016
Promedio General,Par30,M017,0.3812483854096498
Promedio General,Par30,M018,0.40821664186498036
Promedio General,Par30,M019,0.3912645034224586
2021-08,Par8,M000,0.0
2021-09,Par8,M000,0.0
2021-10,Par8,M000,0.0
2021-11,Par8,M000,0.0
2021-12,Par8,M000,0.0
2022-01,Par8,M000,0.0
2022-02,Par8,M000,0.0
2022-03,Par8,M000,0.006879429476179646
2022-04,Par8,M000,0.006189892544664483
2022-05,Par8,M000,0.0021819254393787026
2022-06,Par8,M000,0.0
2022-07,Par8,M000,0.009196792116855076
2022-08,Par8,M000,0.012252520002284903
2022-09,Par8,M000,0.0060182140526044165
2022-10,Par8,M000,0.01013315600113647
2022-11,Par8,M000,0.028906804043406818
2022-12,Par8,M000,0.018390582050452096
2023-01,Par8,M000,0.0
2023-02,Par8,M000,0.0
2023-03,Par8,M000,0.0
2021-08,Par8,M001,0.010295248930717765
2021-09,Par8,M001,0.05384865992811238
2021-10,Par8,M001,0.0502285303561583
2021-11,Par8,M001,0.0689576575280166
2021-12,Par8,M001,0.027320370562062806
2022-01,Par8,M001,0.015384799109782818
2022-02,Par8,M001,0.024134730073152248
2022-03,Par8,M001,0.012272210744471016
2022-04,Par8,M001,0.020236371782106258
2022-05,Par8,M001,0.05958503610237943
2022-06,Par8,M001,0.09145544430514226
2022-07,Par8,M001,0.07841381008483828
2022-08,Par8,M001,0.08179391311379278
2022-09,Par8,M001,0.06629217041120528
2022-10,Par8,M001,0.10426704172714027
2022-11,Par8,M001,0.05928136128941651
2022-12,Par8,M001,0.014372215724502181
2023-01,Par8,M001,0.0269192808922322
2023-02,Par8,M001,0.034254608062561136
2021-08,Par8,M002,0.047100664440795706
2021-09,Par8,M002,0.1324897457248969
2021-10,Par8,M002,0.10853793698976272
2021-11,Par8,M002,0.14659512784995196
2021-12,Par8,M002,0.033355996473627095
2022-01,Par8,M002,0.05411946627376377
2022-02,Par8,M002,0.03648908823086361
2022-03,Par8,M002,0.03044866887235023
2022-04,Par8,M002,0.1052508243096186
2022-05,Par8,M002,0.171937146674911
2022-06,Par8,M002,0.17247969462349272
2022-07,Par8,M002,0.1918154845560311
2022-08,Par8,M002,0.15155241094016333
2022-09,Par8,M002,0.13161042083314145
2022-10,Par8,M002,0.14917710331862083
2022-11,Par8,M002,0.09023346410929929
2022-12,Par8,M002,0.026295003353501316
2023-01,Par8,M002,0.12061931591373583
2021-08,Par8,M003,0.11996496350706795
2021-09,Par8,M003,0.15033979925640947
2021-10,Par8,M003,0.1586668809865267
2021-11,Par8,M003,0.19309732628583665
2021-12,Par8,M003,0.02752444846773144
2022-01,Par8,M003,0.09523266131200096
2022-02,Par8,M003,0.09672510597007111
2022-03,Par8,M003,0.05441871845927034
2022-04,Par8,M003,0.18705049799795864
2022-05,Par8,M003,0.2256866963738548
2022-06,Par8,M003,0.25719723159311164
2022-07,Par8,M003,0.2169150441234742
2022-08,Par8,M003,0.22691234052207312
2022-09,Par8,M003,0.1655638457846509
2022-10,Par8,M003,0.19396866041217384
2022-11,Par8,M003,0.13269124086689615
2022-12,Par8,M003,0.0402756336604966
2021-08,Par8,M004,0.1299726653855653
2021-09,Par8,M004,0.25328031125122485
2021-10,Par8,M004,0.12480795101746714
2021-11,Par8,M004,0.1661639136825595
2021-12,Par8,M004,0.045345175374626005
2022-01,Par8,M004,0.10598344046280737
2022-02,Par8,M004,0.12052353774103892
2022-03,Par8,M004,0.12175389093673797
2022-04,Par8,M004,0.18742625543684815
2022-05,Par8,M004,0.2560358245488533
2022-06,Par8,M004,0.2985032988641768
2022-07,Par8,M004,0.2622663760842885
2022-08,Par8,M004,0.24546365605407022
2022-09,Par8,M004,0.22448866075475593
2022-10,Par8,M004,0.2429843968563874
2022-11,Par8,M004,0.161034830008436
2021-08,Par8,M005,0.3060726717100983
2021-09,Par8,M005,0.3778335062913354
2021-10,Par8,M005,0.09874141660449917
2021-11,Par8,M005,0.17845325582194474
2021-12,Par8,M005,0.02744610122898106
2022-01,Par8,M005,0.1075344785919516
2022-02,Par8,M005,0.135461905178564
2022-03,Par8,M005,0.214984475314867
2022-04,Par8,M005,0.2142888001572826
2022-05,Par8,M005,0.30556577358148523
2022-06,Par8,M005,0.2841842817561078
2022-07,Par8,M005,0.29248849587133946
2022-08,Par8,M005,0.2623714038972482
2022-09,Par8,M005,0.2255370358498855
2022-10,Par8,M005,0.319208171433231
2021-08,Par8,M006,0.2527514608008726
2021-09,Par8,M006,0.22394361376511634
2021-10,Par8,M006,0.15223440345438888
2021-11,Par8,M006,0.20107588379853186
2021-12,Par8,M006,0.03664786097904516
2022-01,Par8,M006,0.13480839980068174
2022-02,Par8,M006,0.2379084903378585
2022-03,Par8,M006,0.22405612006339662
2022-04,Par8,M006,0.2740017620931154
2022-05,Par8,M006,0.35362244139859095
2022-06,Par8,M006,0.2972994299240904
2022-07,Par8,M006,0.35009589066159996
2022-08,Par8,M006,0.31968118944089147
2022-09,Par8,M006,0.3222107218604957
2021-08,Par8,M007,0.2021194773018663
2021-09,Par8,M007,0.27518456782531237
2021-10,Par8,M007,0.17249079690185246
2021-11,Par8,M007,0.1916066817164989
2021-12,Par8,M007,0.06605761386603962
2022-01,Par8,M007,0.17686788812391546
2022-02,Par8,M007,0.229596134491014
2022-03,Par8,M007,0.23524090979361695
2022-04,Par8,M007,0.31499951112959007
2022-05,Par8,M007,0.3934693921247243
2022-06,Par8,M007,0.29283660655140387
2022-07,Par8,M007,0.448044354145629
2022-08,Par8,M007,0.42719193104383973
2021-08,Par8,M008,0.2304367548795067
2021-09,Par8,M008,0.2735195179803442
2021-10,Par8,M008,0.21585904037923184
2021-11,Par8,M008,0.24339037407663006
2021-12,Par8,M008,0.13184596549057426
2022-01,Par8,M008,0.2553875263790535
2022-02,Par8,M008,0.25203590172631213
2022-03,Par8,M008,0.2633004364566449
2022-04,Par8,M008,0.2852121179827043
2022-05,Par8,M008,0.416447219985511
2022-06,Par8,M008,0.291300767896068
2022-07,Par8,M008,0.4479824373158959
2021-08,Par8,M009,0.3052790614948006
2021-09,Par8,M009,0.36218840236955646
2021-10,Par8,M009,0.24723218840804992
2021-11,Par8,M009,0.29583868962028037
2021-12,Par8,M009,0.15835121359075488
2022-01,Par8,M009,0.24959222491268887
2022-02,Par8,M009,0.28496088348301085
2022-03,Par8,M009,0.29488671960793733
2022-04,Par8,M009,0.2978120848670362
2022-05,Par8,M009,0.4532542522221267
2022-06,Par8,M009,0.37267898081567347
2021-08,Par8,M010,0.2220698860709352
2021-09,Par8,M010,0.375854609797831
2021-10,Par8,M010,0.2745223687671411
2021-11,Par8,M010,0.27742331075487753
2021-12,Par8,M010,0.1837439071051452
2022-01,Par8,M010,0.3702411003982742
2022-02,Par8,M010,0.29820014666021943
2022-03,Par8,M010,0.29954205800934325
2022-04,Par8,M010,0.3239036060839791
2022-05,Par8,M010,0.5019983494909502
2021-08,Par8,M011,0.2768617166110871
2021-09,Par8,M011,0.387757861361279
2021-10,Par8,M011,0.251620191768606
2021-11,Par8,M011,0.32933627820783484
2021-12,Par8,M011,0.14872406087467255
2022-01,Par8,M011,0.3707220874845149
2022-02,Par8,M011,0.3157287469778936
2022-03,Par8,M011,0.34230037040512334
2022-04,Par8,M011,0.3622305713789264
2021-08,Par8,M012,0.2807824308292925
2021-09,Par8,M012,0.4302934427758532
2021-10,Par8,M012,0.2737846725442377
2021-11,Par8,M012,0.32707035030482806
2021-12,Par8,M012,0.16454316359723584
2022-01,Par8,M012,0.37035535503990463
2022-02,Par8,M012,0.41964780873166807
2022-03,Par8,M012,0.3471438293772072
2021-08,Par8,M013,0.31121666392535985
2021-09,Par8,M013,0.38794365563296246
2021-10,Par8,M013,0.36313211293582703
2021-11,Par8,M013,0.33690672269182736
2021-12,Par8,M013,0.16843176352749112
2022-01,Par8,M013,0.3595603227287815
2022-02,Par8,M013,0.4150846708976387
2021-08,Par8,M014,0.29791966890970323
2021-09,Par8,M014,0.44070315166469975
2021-10,Par8,M014,0.32288893267008384
2021-11,Par8,M014,0.379825570875963
2021-12,Par8,M014,0.184077907700273
2022-01,Par8,M014,0.3762702187532107
2021-08,Par8,M015,0.3151858305946036
2021-09,Par8,M015,0.4311547012613659
2021-10,Par8,M015,0.4205175847703675
2021-11,Par8,M015,0.38733376046687495
2021-12,Par8,M015,0.29099527699745337
2021-08,Par8,M016,0.3476552336178446
2021-09,Par8,M016,0.4804858656622358
2021-10,Par8,M016,0.4162862361403598
2021-11,Par8,M016,0.46465627200725357
2021-08,Par8,M017,0.35841010129426265
2021-09,Par8,M017,0.4559735000287546
2021-10,Par8,M017,0.46833835874080204
2021-08,Par8,M018,0.33816739939482227
2021-09,Par8,M018,0.4818711001394136
2021-08,Par8,M019,0.3912645034224586
Promedio General,Par8,M000,0.005147755346397924
Promedio General,Par8,M001,0.04884177319161308
Promedio General,Par8,M002,0.10845827813644505
Promedio General,Par8,M003,0.15550533019926552
Promedio General,Par8,M004,0.18671380167783141
Promedio General,Par8,M005,0.223769604620555
Promedio General,Par8,M006,0.2506658587977635
Promedio General,Par8,M007,0.27109416815358756
Promedio General,Par8,M008,0.2849881858888242
Promedio General,Par8,M009,0.31222670217743076
Promedio General,Par8,M010,0.32323406914201513
Promedio General,Par8,M011,0.3187019307021382
Promedio General,Par8,M012,0.3290712909678595
Promedio General,Par8,M013,0.3360732036720242
Promedio General,Par8,M014,0.33030927266348853
Promedio General,Par8,M015,0.3705158472112966
Promedio General,Par8,M016,0.43286374402142325
Promedio General,Par8,M017,0.43116832768811075
Promedio General,Par8,M018,0.40821664186498036
Promedio General,Par8,M019,0.3912645034224586
2021-08,WO anual,M012,217071.33
2021-09,WO anual,M012,260304.99
2021-10,WO anual,M012,348875.19
2021-11,WO anual,M012,444588.67
2021-12,WO anual,M012,146651.29
2022-01,WO anual,M012,300695.37
2022-02,WO anual,M012,407431.54
2022-03,WO anual,M012,543329.03
2022-04,WO anual,M012,695459.14
2022-05,WO anual,M012,744159.58
2022-06,WO anual,M012,470270.93
2022-07,WO anual,M012,303749.71
2022-08,WO anual,M012,235283.64
2022-09,WO anual,M012,194791.35
2022-10,WO anual,M012,249418.82
2022-11,WO anual,M012,60110.06
2022-12,WO anual,M012,0.0
2023-01,WO anual,M012,0.0
2023-02,WO anual,M012,0.0
2023-03,WO anual,M012,0.0
